STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL_CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL_VOTES,POSTAL_VOTES,TOTAL_VOTES,OVER_TOTAL_ELECTORS_IN_CONSTITUENCY,OVER_TOTAL_VOTES_POLLED_IN_CONSTITUENCY,TOTAL_ELECTORS,LITERATE
TELANGANA,ADILABAD,SOYAM BAPU RAO,1,BJP,LOTUS,MALE,52,52,ST,12th Pass,3099414,231450,376892,482,377374,25.33068419,35.4682479,1489790,Literate
TELANGANA,ADILABAD,Godam Nagesh,0,TRS,CAR,MALE,0,54,ST,Post Graduate,18477888,847000,318665,149,318814,21.39992885,29.96436953,1489790,Literate
TELANGANA,ADILABAD,RATHOD RAMESH,0,INC,HAND,MALE,3,52,ST,12th Pass,36491000,15300000,314057,181,314238,21.09277146,29.53428505,1489790,Literate
TELANGANA,ADILABAD,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,13030,6,13036,0.875022654,1.225214455,1489790,Not Available
UTTAR PRADESH,AGRA,Satyapal Singh Baghel,1,BJP,LOTUS,MALE,5,58,SC,Doctorate,74274036,8606522,644459,2416,646875,33.38382301,56.46461464,1937690,Literate
UTTAR PRADESH,AGRA,Manoj Kumar Soni,0,BSP,ELEPHANT,MALE,0,47,SC,Post Graduate,133784385,22251891,434199,1130,435329,22.46639039,37.99912537,1937690,Literate
UTTAR PRADESH,AGRA,Preeta Harit,0,INC,HAND,FEMALE,0,54,SC,Post Graduate,55075753,0,44877,272,45149,2.330042473,3.940979148,1937690,Literate
MAHARASHTRA,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,BJP,LOTUS,MALE,0,37,GENERAL,Doctorate,168664576,2623964,696961,7699,704660,37.85653348,58.42515898,1861396,Literate
MAHARASHTRA,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,0,NCP,CLOCK,MALE,1,34,GENERAL,Graduate,94488381,32549132,419364,3822,423186,22.73487211,35.08743129,1861396,Literate
MAHARASHTRA,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,0,VBA,CUP & SAUCER,MALE,0,62,GENERAL,Graduate,13949000,1400000,31644,163,31807,1.708771266,2.637199546,1861396,Literate
GUJARAT,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,1,BJP,LOTUS,MALE,0,58,GENERAL,Not Available,74699690,6252577,745810,4024,749834,41.3849704,67.00546171,1811851,Not Available
GUJARAT,AHMEDABAD EAST,Gitaben Patel,0,INC,HAND,FEMALE,6,38,GENERAL,10th Pass,40375418,3121888,312883,2621,315504,17.41335242,28.19356176,1811851,Literate
GUJARAT,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,1,BJP,LOTUS,MALE,0,69,SC,Post Graduate,89474039,0,638241,3381,641622,39.04432316,64.21145018,1643317,Literate
